timestamp,bar_close_time,signal_type,action,reason,fast_sma,slow_sma
2025-08-21 03:10:00+00:00,2025-08-21 03:15:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=3.58 <= +DI=11.58, bullish trend)",1.1646650000000003,1.1650009259259264
2025-08-21 03:15:00+00:00,2025-08-21 03:20:00+00:00,SELL,rejected,"stochastic_crossing_direction_mismatch (last crossing was BULLISH, need BEARISH)",1.164662,1.1650049259259259
2025-08-21 03:20:00+00:00,2025-08-21 03:25:00+00:00,SELL,rejected,"stochastic_crossing_direction_mismatch (last crossing was BULLISH, need BEARISH)",1.164652,1.1650082222222222
2025-08-21 03:25:00+00:00,2025-08-21 03:30:00+00:00,SELL,rejected,"stochastic_crossing_direction_mismatch (last crossing was BULLISH, need BEARISH)",1.164641,1.1650114444444444
2025-08-21 03:30:00+00:00,2025-08-21 03:35:00+00:00,SELL,rejected,"stochastic_crossing_direction_mismatch (last crossing was BULLISH, need BEARISH)",1.1646009999999998,1.165013814814815
2025-08-21 03:35:00+00:00,2025-08-21 03:40:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=13.99 <= +DI=15.83, bullish trend)",1.1645889999999999,1.1650175555555555
2025-08-21 03:40:00+00:00,2025-08-21 03:45:00+00:00,SELL,rejected,"stochastic_crossing_direction_mismatch (last crossing was BULLISH, need BEARISH)",1.1645619999999999,1.1650212962962962
2025-08-21 03:45:00+00:00,2025-08-21 03:50:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=10.41 <= +DI=10.41, bullish trend)",1.1645379999999999,1.1650254444444446
2025-08-21 03:50:00+00:00,2025-08-21 03:55:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=6.40 <= +DI=10.68, bullish trend)",1.164517,1.1650294814814814
2025-08-21 03:55:00+00:00,2025-08-21 04:00:00+00:00,SELL,rejected,"dmi_trend_mismatch (-DI=3.57 <= +DI=21.66, bullish trend)",1.164492,1.1650337407407407
2025-08-21 04:00:00+00:00,2025-08-21 04:05:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164472,1.1650371111111109
2025-08-21 04:05:00+00:00,2025-08-21 04:10:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164453,1.1650395555555555
2025-08-21 04:10:00+00:00,2025-08-21 04:15:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164453,1.1650422962962963
2025-08-21 04:15:00+00:00,2025-08-21 04:20:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164472,1.1650446666666667
2025-08-21 04:20:00+00:00,2025-08-21 04:25:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1645150000000002,1.1650474444444443
2025-08-21 04:25:00+00:00,2025-08-21 04:30:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164519,1.1650503703703703
2025-08-21 04:30:00+00:00,2025-08-21 04:35:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1645470000000002,1.1650537407407406
2025-08-21 04:35:00+00:00,2025-08-21 04:40:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1645770000000002,1.1650565925925924
2025-08-21 04:40:00+00:00,2025-08-21 04:45:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1645850000000002,1.1650592222222222
2025-08-21 04:45:00+00:00,2025-08-21 04:50:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1645910000000002,1.1650642592592593
2025-08-21 04:50:00+00:00,2025-08-21 04:55:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164609,1.165072703703704
2025-08-21 04:55:00+00:00,2025-08-21 05:00:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=4 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.164622,1.1650798888888891
2025-08-21 05:00:00+00:00,2025-08-21 05:05:00+00:00,SELL,rejected,"time_filter_excluded_hour (bar_hour=5 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.1646260000000002,1.1650854074074075
